Alignment_order,Genome_ID,Mauve_header,Alignment_length,Gap_count,N_count,Non_gap_length,Species,Chemotype,Chromosome_or_Contig,Genes,Locus_start,Locus_end,Extract_start,Extract_end,Analysis_role,Gap_fraction
11,GCA_025258505.1,"GCA_025258505.1|CP088258.1|core_TRI_cluster|5453486-5491107|locus=5458486-5486107|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37620_to_1)",64708,27088,0,37620,Fusarium asiaticum,NIV,CP088258.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5458486,5486107,5453486,5491107,discovery,0.4186190270136614
12,GCA_032355295.1,"GCA_032355295.1|CP126885.1|core_TRI_cluster|5497351-5534946|locus=5502351-5529946|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37596_to_1)",64708,27112,0,37596,Fusarium meridionale,NIV,CP126885.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5502351,5529946,5497351,5534946,discovery,0.4189899239661247
13,GCA_037074405.1,"GCA_037074405.1|CM073625.1|core_TRI_cluster|5454538-5491586|locus=5459538-5486586|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37049_to_2)",64708,27660,0,37048,Fusarium graminearum,15-ADON,CM073625.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5459538,5486586,5454538,5491586,discovery,0.4274587377140385
14,GCA_037213105.1,"GCA_037213105.1|CP147678.1|core_TRI_cluster|5380139-5414873|locus=5385139-5409873|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_34735_to_60)",64708,30032,0,34676,Fusarium graminearum,3-ADON,CP147678.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5385139,5409873,5380139,5414873,discovery,0.46411571984916855
15,GCA_037255895.1,"GCA_037255895.1|CP147673.1|core_TRI_cluster|5434173-5471144|locus=5439173-5466144|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_36972_to_1)",64708,27736,0,36972,Fusarium graminearum,15-ADON,CP147673.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5439173,5466144,5434173,5471144,discovery,0.42863324473017245
16,GCA_041870755.1,"GCA_041870755.1|CP167250.1|core_TRI_cluster|3726431-3763527|locus=3731431-3758527|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8_(bases_1_to_37097)",64708,27611,0,37097,Fusarium sambucinum,T-2/HT-2 *,CP167250.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3731431,3758527,3726431,3763527,validation_unconfirmed,0.42670148976942573
17,GCA_046056315.1,"GCA_046056315.1|CM100255.1|core_TRI_cluster|5846507-5886662|locus=5851507-5881662|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14_(bases_40156_to_1)",64708,24552,0,40156,Fusarium poae,NIV,CM100255.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5851507,5881662,5846507,5886662,discovery,0.37942758237003155
18,GCA_050916195.1,"GCA_050916195.1|CP099493.1|core_TRI_cluster|5449195-5484208|locus=5454195-5479208|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_35012_to_3)",64708,29698,0,35010,Fusarium asiaticum,3-ADON,CP099493.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5454195,5479208,5449195,5484208,discovery,0.4589540705940533
19,GCA_051903665.1,"GCA_051903665.1|CM122891.1|core_TRI_cluster|5492267-5529862|locus=5497267-5524862|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37596_to_1)",64708,27112,0,37596,Fusarium graminearum,Not reported,CM122891.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5497267,5524862,5492267,5529862,unlabelled,0.4189899239661247
20,GCA_054553065.1,"GCA_054553065.1|CM137278.1|core_TRI_cluster|3511325-3548776|locus=3516325-3543776|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8_(bases_3_to_37450)",64708,27260,0,37448,Fusarium cerealis,NIV,CM137278.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3516325,3543776,3511325,3548776,discovery,0.4212771218396489
21,GCA_900007375.1,"GCA_900007375.1|LN649230.1|core_TRI_cluster|5599849-5636982|locus=5604849-5631982|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14_(bases_37132_to_22)",64708,27597,0,37111,Fusarium venenatum,NP,LN649230.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5604849,5631982,5599849,5636982,negative_control,0.4264851332138221
22,GCA_900044135.1,"GCA_900044135.1|HG970333.1|core_TRI_cluster|5387461-5424477|locus=5392461-5419477|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37017_to_1)",64708,27691,0,37017,Fusarium graminearum,15-ADON,HG970333.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5392461,5419477,5387461,5424477,discovery,0.42793781294430366
23,GCA_900074845.1,"GCA_900074845.1|LT598660.1|core_TRI_cluster|5583614-5619290|locus=5588614-5614290|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_35675_to_3)",64708,29035,508,35673,Fusarium culmorum,3-ADON,LT598660.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5588614,5614290,5583614,5619290,discovery,0.4487080422822526
24,GCF_000240135.3,"GCF_000240135.3|NC_026475.1|core_TRI_cluster|6630631-6667647|locus=6635631-6662647|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_1_to_37017)",64708,27691,0,37017,Fusarium graminearum,15-ADON,NC_026475.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",6635631,6662647,6630631,6667647,discovery,0.42793781294430366
25,GCF_000303195.2,"GCF_000303195.2|NC_031952.1|core_TRI_cluster|5409651-5444867|locus=5414651-5439867|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_35215_to_3)",64708,29495,0,35213,Fusarium pseudograminearum,3-ADON,NC_031952.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5414651,5439867,5409651,5444867,discovery,0.4558169005378006
26,GCF_019609905.1,"GCF_019609905.1|NC_058400.1|core_TRI_cluster|5858037-5898215|locus=5863037-5893215|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14_(bases_40179_to_1)",64708,24529,0,40179,Fusarium poae,NIV,NC_058400.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5863037,5893215,5858037,5898215,discovery,0.37907213945725415
27,GCF_050947815.1,"GCF_050947815.1|NC_139293.1|core_TRI_cluster|3751792-3788918|locus=3756792-3783918|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8_(bases_1_to_37126)",64708,27582,0,37126,Fusarium sambucinum,T-2/HT-2 *,NC_139293.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3756792,3783918,3751792,3788918,validation_unconfirmed,0.4262533226185325
