Genome_ID,Species,Chemotype,Toxin_System,Gene,Chromosome_or_Contig,Start,End,Strand,Multiple_hits_for_gene,Multiple_contigs_for_gene,Representative_HSP_count,Query_length,Query_covered_bp,Combined_query_coverage_percent,Weighted_percent_identity,Total_bitscore,Best_evalue
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI14,JAAVUF010001174.1,16940,17867,-,False,False,1,928,925,99.67672413793103,89.297,1160,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI16,JAAVUF010001876.1,3236,4717,+,False,False,1,1482,1482,100.0,98.718,2632,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI17,JAAVUF010000721.1,44538,45299,-,False,False,1,756,756,100.0,91.016,1020,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI20,JAAVUF010000721.1,56277,56974,+,False,False,1,749,698,93.1909212283044,89.971,902,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI201,JAAVUF010000518.1,26772,28140,-,False,False,3,1267,1267,100.0,92.22309347996857,1795,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI21,JAAVUF010000721.1,59651,60444,-,False,False,1,827,794,96.00967351874245,92.821,1151,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI22,JAAVUF010000518.1,29674,31482,+,False,False,3,1681,1679,99.88102320047591,92.48975162625666,2400,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI4,JAAVUF010001174.1,35115,36556,+,False,False,3,1563,1311,83.87715930902111,88.25347444698703,1570,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI5,JAAVUF010001174.1,29558,30742,-,False,False,1,1185,1185,100.0,97.806,2045,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI6,JAAVUF010001174.1,33035,33688,-,True,True,1,657,657,100.0,91.933,917,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI6,JAAVUF010002821.1,325,978,+,True,True,1,657,657,100.0,92.39,933,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI8,JAAVUF010001189.1,2517,3860,+,False,False,1,1344,1344,100.0,98.958,2405,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI9,JAAVUF010001174.1,26837,26968,+,False,False,1,132,132,100.0,89.394,167,1.89e-41
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI1,CP064755.1,277910,279663,+,False,False,5,1539,1538,99.93502274204027,98.8976990920882,2756,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI10,CP064753.1,5626014,5627374,-,False,False,2,1263,1262,99.92082343626286,85.1150380047506,1290,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI101,CP064753.1,4833239,4835754,+,False,False,2,2469,2467,99.91899554475496,96.35472742000809,4060,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI11,CP064753.1,5622335,5624070,+,False,False,1,1722,1722,100.0,85.19800000000001,1764,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI12,CP064753.1,5619793,5621769,+,False,False,3,1872,1866,99.67948717948718,91.33681390374332,2551,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI14,CP064753.1,5615272,5616444,-,False,False,2,1116,1115,99.91039426523297,95.702866606983,1798,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI17,CP064756.1,3660284,3661035,-,False,False,1,756,753,99.60317460317461,96.54700000000001,1245,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI20,CP064756.1,3671784,3672484,+,False,False,1,749,701,93.59145527369826,95.863,1134,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI201,CP064753.1,4830500,4831873,+,False,False,3,1267,1267,100.0,95.83304638364781,2053,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI21,CP064756.1,3675089,3675882,-,False,False,1,827,794,96.00967351874245,96.474,1312,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI22,CP064753.1,4827157,4828970,-,False,False,3,1681,1681,100.0,97.39055634638197,2865,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI3,CP064753.1,5636887,5638654,-,False,False,4,1554,1519,97.74774774774775,93.12344138834315,2238,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI4,CP064753.1,5633968,5635711,+,False,False,4,1563,1563,100.0,98.46655846645369,2760,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI5,CP064753.1,5628092,5629283,-,False,False,2,1128,1127,99.91134751773049,95.65250931677018,1811,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI6,CP064753.1,5632136,5632792,-,False,False,1,657,657,100.0,95.586,1053,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI7,CP064753.1,5639461,5640883,-,False,False,2,1398,1375,98.35479256080114,82.00306894049346,1161,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI8,CP064753.1,5641527,5642859,+,False,False,1,1338,1336,99.85052316890882,87.36,1528,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,TRI9,CP064753.1,5625296,5625427,+,False,False,1,132,132,100.0,96.212,217,1.74e-56
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI1,CP064750.1,331941,333694,+,False,False,5,1539,1539,100.0,97.53707841866493,2642,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI10,CP064747.1,5871330,5872679,+,False,False,2,1263,1252,99.12905779889152,94.48898322683705,1931,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI101,CP064747.1,5085784,5088301,+,False,False,2,2469,2467,99.91899554475496,96.88253846153846,4134,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI11,CP064747.1,5874646,5876381,-,False,False,1,1722,1722,100.0,85.264,1770,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI12,CP064747.1,5876950,5878926,-,False,False,3,1797,1797,100.0,92.21362736373749,2546,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI14,CP064747.1,5882288,5883459,+,False,False,1,928,928,100.0,86.667,1027,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI17,CP064748.1,3502522,3503274,-,False,False,1,756,753,99.60317460317461,98.274,1319,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI20,CP064748.1,3515850,3516550,+,False,False,1,749,701,93.59145527369826,99.001,1256,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI201,CP064747.1,5083070,5084426,+,False,False,3,1267,1267,100.0,94.65387342767295,1955,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI21,CP064748.1,3519159,3519952,-,False,False,1,827,794,96.00967351874245,98.363,1395,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI22,CP064747.1,5079728,5081540,-,False,False,3,1681,1681,100.0,98.15993234421366,2936,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI3,CP064747.1,5860237,5861999,+,False,False,4,1554,1519,97.74774774774775,92.05709635416667,2162,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI4,CP064747.1,5862981,5864722,-,False,False,4,1563,1563,100.0,97.63602236421725,2688,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI5,CP064747.1,5869489,5870668,+,False,False,2,1128,1128,100.0,95.39006382978724,1797,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI6,CP064747.1,5865891,5866547,+,False,False,1,657,657,100.0,95.593,1053,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI7,CP064747.1,5858015,5859437,+,False,False,2,1398,1378,98.56938483547926,81.2004273318872,1100,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI8,CP064747.1,5856025,5857359,-,False,False,1,1338,1338,100.0,88.424,1609,0.0
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,TRI9,CP064747.1,5873278,5873409,-,False,False,1,132,132,100.0,98.485,233,1.71e-61
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI1,JAGDVF010000004.1,310147,311905,+,False,False,5,1539,1539,100.0,96.95405508749191,2593,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI10,JAGDVF010000009.1,174740,176092,-,False,False,2,1263,1263,100.0,94.14123594615994,1923,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI101,JAGDVF010000009.1,967027,969543,-,False,False,2,2469,2467,99.91899554475496,98.86582867557716,4405,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI11,JAGDVF010000009.1,171048,172783,+,False,False,1,1722,1722,100.0,84.413,1687,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI12,JAGDVF010000009.1,168513,170489,+,False,False,3,1872,1872,100.0,99.2519610042735,3381,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI14,JAGDVF010000009.1,164296,165464,-,False,False,2,1116,1116,100.0,99.01616279069768,2005,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI17,JAGDVF010000008.1,1705711,1706466,+,False,False,1,756,756,100.0,99.074,1358,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI20,JAGDVF010000008.1,1692708,1693408,-,False,False,1,749,701,93.59145527369826,99.57200000000002,1279,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI201,JAGDVF010000009.1,970901,972270,-,False,False,3,1267,1267,100.0,99.21169897557132,2290,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI21,JAGDVF010000008.1,1689314,1690107,+,False,False,1,827,794,96.00967351874245,99.874,1461,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI22,JAGDVF010000009.1,973818,975630,+,False,False,3,1681,1681,100.0,99.28767002967358,3042,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI3,JAGDVF010000009.1,185483,187075,-,False,False,3,1554,1393,89.63963963963964,92.03170638908828,1959,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI4,JAGDVF010000009.1,182618,184361,+,False,False,4,1563,1563,100.0,97.18872268370606,2649,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI5,JAGDVF010000009.1,176751,177941,-,False,False,2,1128,1128,100.0,95.65610460992907,1813,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI6,JAGDVF010000009.1,180803,181459,-,False,False,1,657,657,100.0,96.804,1098,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI8,JAGDVF010000009.1,189921,191258,+,False,False,1,1338,1338,100.0,99.028,2399,0.0
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,TRI9,JAGDVF010000009.1,174009,174138,+,False,False,1,132,130,98.48484848484848,98.462,230,2.16e-60
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI1,JAFFKB010000090.1,582528,584384,-,True,True,5,1629,1629,100.0,96.94554428833231,2750,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI1,JAFFKB010000127.1,413844,415700,+,True,True,5,1629,1629,100.0,97.25105742211365,2778,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI10,JAFFKB010000014.1,4484263,4485602,+,False,False,2,1263,1263,100.0,88.14232648221345,1506,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI101,JAFFKB010000149.1,807612,810123,-,False,False,2,2469,2468,99.95949777237747,91.79121674080065,3427,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI11,JAFFKB010000014.1,4491420,4493141,-,False,False,1,1722,1722,100.0,98.664,3053,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI12,JAFFKB010000014.1,4493781,4495682,-,False,False,1,1902,1902,100.0,98.212,3325,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI13,JAFFKB010000014.1,4496453,4498287,-,False,False,2,1764,1763,99.94331065759637,85.13498536036036,1805,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI14,JAFFKB010000014.1,4499184,4500111,+,False,False,1,928,928,100.0,88.793,1138,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI16,JAFFKB010000127.1,428033,429514,-,False,False,1,1482,1482,100.0,97.841,2560,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI17,JAFFKB010000014.1,3672689,3673450,+,False,False,1,756,756,100.0,91.276,1031,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI20,JAFFKB010000014.1,3661563,3662263,-,False,False,1,749,701,93.59145527369826,89.444,885,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI201,JAFFKB010000149.1,811485,812857,-,False,False,3,1267,1267,100.0,92.30140219952868,1804,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI21,JAFFKB010000014.1,3658198,3658991,+,False,False,1,827,794,96.00967351874245,93.199,1168,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI22,JAFFKB010000149.1,814369,816176,+,False,False,3,1681,1679,99.88102320047591,92.36235287152161,2389,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI3,JAFFKB010000014.1,4474109,4475431,+,False,False,2,1554,1258,80.95238095238095,83.64746933962265,1185,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI4,JAFFKB010000014.1,4476906,4478391,-,False,False,2,1563,1209,77.35124760076776,85.84387160493827,1285,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI5,JAFFKB010000014.1,4482463,4483646,+,True,True,1,1185,1185,100.0,98.228,2071,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI5,JAFFKB010000090.1,2237848,2239031,+,True,True,1,1185,1185,100.0,90.564,1567,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI6,JAFFKB010000014.1,4479512,4480165,+,False,False,1,657,657,100.0,92.694,944,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI8,JAFFKB010000014.1,4469928,4471271,-,False,False,1,1344,1344,100.0,97.917,2327,0.0
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI9,JAFFKB010000014.1,4488334,4488465,-,False,False,1,132,132,100.0,89.394,167,2.79e-41
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI1,JAHKNR010000004.1,4738352,4740210,+,False,False,5,1629,1629,100.0,97.67864202810019,2816,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI10,JAHKNR010000001.1,3476070,3477408,-,False,False,2,1263,1262,99.92082343626286,87.42112025316456,1454,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI101,JAHKNR010000001.1,4247496,4250015,-,False,False,2,2469,2466,99.87849331713244,91.83152122927619,3438,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI11,JAHKNR010000001.1,3472499,3474220,+,False,False,1,1722,1722,100.0,99.71,3153,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI12,JAHKNR010000001.1,3469953,3471854,+,False,False,1,1902,1902,100.0,99.842,3496,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI13,JAHKNR010000001.1,3467349,3469174,+,False,False,2,1764,1754,99.43310657596372,85.39881380871533,1822,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI14,JAHKNR010000001.1,3465408,3466335,-,False,False,1,928,925,99.67672413793103,89.297,1160,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI16,JAHKNR010000004.1,4741614,4743095,-,False,False,1,1482,1482,100.0,98.718,2632,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI17,JAHKNR010000004.1,1340764,1341525,+,False,False,1,756,756,100.0,91.146,1026,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI20,JAHKNR010000004.1,1329221,1329921,-,False,False,1,749,701,93.59145527369826,89.586,891,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI21,JAHKNR010000004.1,1325765,1326558,+,False,False,1,827,794,96.00967351874245,93.199,1168,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI22,JAHKNR010000001.1,4254275,4256083,+,False,False,3,1681,1679,99.88102320047591,92.31208160851568,2384,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI3,JAHKNR010000001.1,3486297,3487619,-,False,False,2,1554,1258,80.95238095238095,83.84541134751774,1196,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI4,JAHKNR010000001.1,3483334,3485076,+,False,False,3,1563,1311,83.87715930902111,88.87183536585366,1614,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI5,JAHKNR010000001.1,3478024,3479208,-,False,False,1,1185,1185,100.0,99.916,2183,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI6,JAHKNR010000001.1,3481522,3482175,-,False,False,1,657,657,100.0,91.933,917,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI8,JAHKNR010000001.1,3490465,3491808,+,False,False,1,1344,1344,100.0,99.03300000000002,2410,0.0
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI9,JAHKNR010000001.1,3475307,3475438,+,False,False,1,132,132,100.0,88.636,161,8.23e-40
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI1,JAHKNS010000004.1,7432269,7434127,+,False,False,4,1629,1561,95.82565991405771,98.27686981493298,2747,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI10,JAHKNS010000002.1,3592470,3593808,-,False,False,2,1263,1262,99.92082343626286,87.6585253164557,1471,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI101,JAHKNS010000002.1,4362393,4364912,-,False,False,2,2469,2466,99.87849331713244,91.87245248685807,3443,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI11,JAHKNS010000002.1,3588895,3590620,+,False,False,1,1722,1722,100.0,99.01500000000001,3090,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI12,JAHKNS010000002.1,3586352,3588253,+,False,False,1,1902,1902,100.0,99.211,3430,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI13,JAHKNS010000002.1,3583750,3585575,+,False,False,2,1764,1754,99.43310657596372,85.17248217317488,1800,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI14,JAHKNS010000002.1,3581809,3582736,-,False,False,1,928,925,99.67672413793103,89.405,1166,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI16,JAHKNS010000004.1,7436731,7438212,-,False,False,1,1482,1482,100.0,98.381,2604,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI17,JAHKNS010000004.1,4054895,4055656,+,False,False,1,756,756,100.0,91.146,1026,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI20,JAHKNS010000004.1,4043352,4044052,-,False,False,1,749,701,93.59145527369826,89.301,880,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI21,JAHKNS010000004.1,4039896,4040689,+,False,False,1,827,794,96.00967351874245,93.199,1168,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI22,JAHKNS010000002.1,4369172,4370980,+,False,False,3,1681,1679,99.88102320047591,92.30759349112425,2384,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI4,JAHKNS010000002.1,3599688,3601430,+,False,False,3,1563,1311,83.87715930902111,88.5667599085366,1592,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI5,JAHKNS010000002.1,3594425,3595609,-,False,False,1,1185,1185,100.0,98.228,2073,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI6,JAHKNS010000002.1,3597911,3598564,-,False,False,1,657,657,100.0,92.085,922,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI8,JAHKNS010000002.1,3606832,3608175,+,False,False,1,1344,1344,100.0,99.554,2449,0.0
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,TRI9,JAHKNS010000002.1,3591707,3591838,+,False,False,1,132,132,100.0,88.636,161,8.25e-40
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,TRI1,CP079833.1,287561,289267,+,False,False,4,1539,1539,100.0,97.01669066147859,2596,0.0
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,TRI10,CP079829.1,3596287,3597636,-,False,False,2,1263,1263,100.0,93.90313301662708,1904,0.0
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,TRI101,CP079829.1,4380100,4382565,-,False,False,1,2469,2467,99.91899554475496,98.744,4383,0.0
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,TRI11,CP079829.1,3592597,3594331,+,False,False,1,1722,1722,100.0,84.413,1685,0.0
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,TRI12,CP079829.1,3590064,3592039,+,False,False,3,1872,1872,100.0,99.19868376068375,3373,0.0
