Genome_ID,Species,Chemotype,Toxin_System,Chromosome_or_Contig,Locus_ID,Locus_start,Locus_end,Locus_length_bp,Number_of_hits,Number_of_unique_genes,Maximum_gap_bp,Genes
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,CP064756.1,GCA_016952305.1|CP064756.1|L1,3660284,3675882,15599,3,3,10748,"TRI17,TRI20,TRI21"
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,CP064747.1,GCA_016952355.1|CP064747.1|L1,5079728,5088301,8574,3,3,1529,"TRI22,TRI201,TRI101"
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,CP064747.1,GCA_016952355.1|CP064747.1|L2,5856025,5883459,27435,11,11,3361,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,CP064748.1,GCA_016952355.1|CP064748.1|L1,3502522,3519952,17431,3,3,12575,"TRI17,TRI20,TRI21"
GCA_016952355.1,Fusarium culmorum,Not reported,TRI,CP064750.1,GCA_016952355.1|CP064750.1|L1,331941,333694,1754,1,1,0,TRI1
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,JAGDVF010000004.1,GCA_017656985.1|JAGDVF010000004.1|L1,310147,311905,1759,1,1,0,TRI1
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,JAGDVF010000008.1,GCA_017656985.1|JAGDVF010000008.1|L1,1689314,1706466,17153,3,3,12302,"TRI21,TRI20,TRI17"
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,JAGDVF010000009.1,GCA_017656985.1|JAGDVF010000009.1|L1,164296,191258,26963,10,10,3048,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8"
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,JAGDVF010000009.1,GCA_017656985.1|JAGDVF010000009.1|L2,967027,975630,8604,3,3,1547,"TRI101,TRI201,TRI22"
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,JAFFKB010000014.1,GCA_018104275.1|JAFFKB010000014.1|L1,3658198,3673450,15253,3,3,10425,"TRI21,TRI20,TRI17"
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,JAFFKB010000014.1,GCA_018104275.1|JAFFKB010000014.1|L2,4469928,4500111,30184,11,11,2954,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14"
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,JAFFKB010000090.1,GCA_018104275.1|JAFFKB010000090.1|L1,582528,584384,1857,1,1,0,TRI1
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,JAFFKB010000090.1,GCA_018104275.1|JAFFKB010000090.1|L2,2237848,2239031,1184,1,1,0,TRI5
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,JAFFKB010000127.1,GCA_018104275.1|JAFFKB010000127.1|L1,413844,429514,15671,2,2,12332,"TRI1,TRI16"
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,JAFFKB010000149.1,GCA_018104275.1|JAFFKB010000149.1|L1,807612,816176,8565,3,3,1511,"TRI101,TRI201,TRI22"
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNR010000001.1,GCA_019054615.1|JAHKNR010000001.1|L1,3465408,3491808,26401,11,11,2845,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8"
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNR010000001.1,GCA_019054615.1|JAHKNR010000001.1|L2,4247496,4256083,8588,2,2,4259,"TRI101,TRI22"
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNR010000004.1,GCA_019054615.1|JAHKNR010000004.1|L1,1325765,1341525,15761,3,3,10842,"TRI21,TRI20,TRI17"
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNR010000004.1,GCA_019054615.1|JAHKNR010000004.1|L2,4738352,4743095,4744,2,2,1403,"TRI1,TRI16"
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNS010000002.1,GCA_019054645.1|JAHKNS010000002.1|L1,3581809,3608175,26367,10,10,5401,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI8"
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNS010000002.1,GCA_019054645.1|JAHKNS010000002.1|L2,4362393,4370980,8588,2,2,4259,"TRI101,TRI22"
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNS010000004.1,GCA_019054645.1|JAHKNS010000004.1|L1,4039896,4055656,15761,3,3,10842,"TRI21,TRI20,TRI17"
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,JAHKNS010000004.1,GCA_019054645.1|JAHKNS010000004.1|L2,7432269,7438212,5944,2,2,2603,"TRI1,TRI16"
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,CP079829.1,GCA_019343145.1|CP079829.1|L1,3585848,3612795,26948,10,10,3047,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8"
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,CP079829.1,GCA_019343145.1|CP079829.1|L2,4380100,4388345,8246,3,3,1547,"TRI101,TRI201,TRI22"
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,CP079831.1,GCA_019343145.1|CP079831.1|L1,3441677,3458736,17060,3,3,12177,"TRI17,TRI20,TRI21"
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,CP079833.1,GCA_019343145.1|CP079833.1|L1,287561,289267,1707,1,1,0,TRI1
GCA_020991245.1,Fusarium graminearum,15-ADON,TRI,CP087871.1,GCA_020991245.1|CP087871.1|L1,291505,293259,1755,1,1,0,TRI1
GCA_020991245.1,Fusarium graminearum,15-ADON,TRI,CP087872.1,GCA_020991245.1|CP087872.1|L1,4624670,4633278,8609,3,3,1547,"TRI22,TRI201,TRI101"
GCA_020991245.1,Fusarium graminearum,15-ADON,TRI,CP087872.1,GCA_020991245.1|CP087872.1|L2,5392461,5419477,27017,10,10,3080,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_020991245.1,Fusarium graminearum,15-ADON,TRI,CP087873.1,GCA_020991245.1|CP087873.1|L1,3547259,3564439,17181,3,3,12318,"TRI17,TRI20,TRI21"
GCA_025258505.1,Fusarium asiaticum,NIV,TRI,CP088257.1,GCA_025258505.1|CP088257.1|L1,438493,440246,1754,1,1,0,TRI1
GCA_025258505.1,Fusarium asiaticum,NIV,TRI,CP088258.1,GCA_025258505.1|CP088258.1|L1,4695646,4704251,8606,3,3,1541,"TRI22,TRI201,TRI101"
GCA_025258505.1,Fusarium asiaticum,NIV,TRI,CP088258.1,GCA_025258505.1|CP088258.1|L2,5458486,5486107,27622,11,11,3344,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_025258505.1,Fusarium asiaticum,NIV,TRI,CP088259.1,GCA_025258505.1|CP088259.1|L1,3579909,3597064,17156,3,3,12291,"TRI17,TRI20,TRI21"
GCA_032355295.1,Fusarium meridionale,NIV,TRI,CP126884.1,GCA_032355295.1|CP126884.1|L1,312406,314158,1753,1,1,0,TRI1
GCA_032355295.1,Fusarium meridionale,NIV,TRI,CP126885.1,GCA_032355295.1|CP126885.1|L1,4695925,4704539,8615,3,3,1547,"TRI22,TRI201,TRI101"
GCA_032355295.1,Fusarium meridionale,NIV,TRI,CP126885.1,GCA_032355295.1|CP126885.1|L2,5502351,5529946,27596,11,11,3347,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_032355295.1,Fusarium meridionale,NIV,TRI,CP126886.1,GCA_032355295.1|CP126886.1|L1,3595461,3612601,17141,3,3,12282,"TRI17,TRI20,TRI21"
GCA_037074405.1,Fusarium graminearum,15-ADON,TRI,CM073624.1,GCA_037074405.1|CM073624.1|L1,356462,358216,1755,1,1,0,TRI1
GCA_037074405.1,Fusarium graminearum,15-ADON,TRI,CM073625.1,GCA_037074405.1|CM073625.1|L1,4669101,4677709,8609,3,3,1547,"TRI22,TRI201,TRI101"
GCA_037074405.1,Fusarium graminearum,15-ADON,TRI,CM073625.1,GCA_037074405.1|CM073625.1|L2,5459538,5486586,27049,10,10,3080,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_037074405.1,Fusarium graminearum,15-ADON,TRI,CM073626.1,GCA_037074405.1|CM073626.1|L1,3559675,3576853,17179,3,3,12315,"TRI17,TRI20,TRI21"
GCA_037213105.1,Fusarium graminearum,3-ADON,TRI,CP147677.1,GCA_037213105.1|CP147677.1|L1,336530,338284,1755,1,1,0,TRI1
GCA_037213105.1,Fusarium graminearum,3-ADON,TRI,CP147678.1,GCA_037213105.1|CP147678.1|L1,4627805,4636414,8610,3,3,1547,"TRI22,TRI201,TRI101"
GCA_037213105.1,Fusarium graminearum,3-ADON,TRI,CP147678.1,GCA_037213105.1|CP147678.1|L2,5385139,5409873,24735,10,10,3074,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_037213105.1,Fusarium graminearum,3-ADON,TRI,CP147679.1,GCA_037213105.1|CP147679.1|L1,3676970,3694128,17159,3,3,12293,"TRI17,TRI20,TRI21"
GCA_037255895.1,Fusarium graminearum,15-ADON,TRI,CP147672.1,GCA_037255895.1|CP147672.1|L1,347881,349634,1754,1,1,0,TRI1
GCA_037255895.1,Fusarium graminearum,15-ADON,TRI,CP147673.1,GCA_037255895.1|CP147673.1|L1,4676674,4685285,8612,3,3,1547,"TRI22,TRI201,TRI101"
GCA_037255895.1,Fusarium graminearum,15-ADON,TRI,CP147673.1,GCA_037255895.1|CP147673.1|L2,5439173,5466144,26972,10,10,3090,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_037255895.1,Fusarium graminearum,15-ADON,TRI,CP147675.1,GCA_037255895.1|CP147675.1|L1,3555354,3572541,17188,3,3,12311,"TRI17,TRI20,TRI21"
GCA_038181435.1,Fusarium acuminatum,Not reported ,TRI ,CP151263.1,GCA_038181435.1|CP151263.1|L1,864807,865603,797,1,1,0,TRI21
GCA_038181435.1,Fusarium acuminatum,Not reported ,TRI ,CP151266.1,GCA_038181435.1|CP151266.1|L1,428026,436488,8463,2,2,4430,"TRI22,TRI101"
GCA_041870755.1,Fusarium sambucinum,T-2/HT-2 *,TRI,CP167249.1,GCA_041870755.1|CP167249.1|L1,62720,63945,1226,1,1,0,TRI16
GCA_041870755.1,Fusarium sambucinum,T-2/HT-2 *,TRI,CP167250.1,GCA_041870755.1|CP167250.1|L1,3731431,3758527,27097,12,12,2827,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8"
GCA_041870755.1,Fusarium sambucinum,T-2/HT-2 *,TRI,CP167250.1,GCA_041870755.1|CP167250.1|L2,4484939,4493449,8511,3,3,1511,"TRI22,TRI201,TRI101"
GCA_041870755.1,Fusarium sambucinum,T-2/HT-2 *,TRI,CP167251.1,GCA_041870755.1|CP167251.1|L1,3918855,3934573,15719,3,3,10925,"TRI17,TRI20,TRI21"
GCA_046056315.1,Fusarium poae,NIV,TRI,CM100254.1,GCA_046056315.1|CM100254.1|L1,60588,62349,1762,1,1,0,TRI1
GCA_046056315.1,Fusarium poae,NIV,TRI,CM100255.1,GCA_046056315.1|CM100255.1|L1,5057710,5066169,8460,2,2,4249,"TRI22,TRI101"
GCA_046056315.1,Fusarium poae,NIV,TRI,CM100255.1,GCA_046056315.1|CM100255.1|L2,5851507,5881662,30156,12,12,5061,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14"
GCA_046056315.1,Fusarium poae,NIV,TRI,CM100256.1,GCA_046056315.1|CM100256.1|L1,3658198,3673592,15395,3,3,10572,"TRI17,TRI20,TRI21"
GCA_046056315.1,Fusarium poae,NIV,TRI,CM100258.1,GCA_046056315.1|CM100258.1|L1,1112374,1113054,681,1,1,0,TRI6
GCA_047716405.1,Fusarium chlamydosporum,Not reported ,TRI,JBLAUX010000001.1,GCA_047716405.1|JBLAUX010000001.1|L1,1385523,1394039,8517,2,2,4260,"TRI22,TRI101"
GCA_047716405.1,Fusarium chlamydosporum,Not reported ,TRI,JBLAUX010000012.1,GCA_047716405.1|JBLAUX010000012.1|L1,812763,829013,16251,2,2,14724,"TRI21,TRI17"
GCA_050859235.1,Fusarium tricinctum,NP,TRI ,CM116341.1,GCA_050859235.1|CM116341.1|L1,4178607,4179403,797,1,1,0,TRI21
GCA_050859235.1,Fusarium tricinctum,NP,TRI ,CM116345.1,GCA_050859235.1|CM116345.1|L1,489065,497528,8464,2,2,4635,"TRI22,TRI101"
GCA_050916195.1,Fusarium asiaticum,3-ADON,TRI,CP099492.1,GCA_050916195.1|CP099492.1|L1,3676953,3694108,17156,3,3,12291,"TRI17,TRI20,TRI21"
GCA_050916195.1,Fusarium asiaticum,3-ADON,TRI,CP099493.1,GCA_050916195.1|CP099493.1|L1,4693479,4702084,8606,3,3,1541,"TRI22,TRI201,TRI101"
GCA_050916195.1,Fusarium asiaticum,3-ADON,TRI,CP099493.1,GCA_050916195.1|CP099493.1|L2,5454195,5479208,25014,10,10,3151,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_050916195.1,Fusarium asiaticum,3-ADON,TRI,CP099494.1,GCA_050916195.1|CP099494.1|L1,436937,438690,1754,1,1,0,TRI1
GCA_051903665.1,Fusarium graminearum,Not reported ,TRI,CM122890.1,GCA_051903665.1|CM122890.1|L1,345129,346881,1753,1,1,0,TRI1
GCA_051903665.1,Fusarium graminearum,Not reported ,TRI,CM122891.1,GCA_051903665.1|CM122891.1|L1,4691085,4699699,8615,3,3,1547,"TRI22,TRI201,TRI101"
GCA_051903665.1,Fusarium graminearum,Not reported ,TRI,CM122891.1,GCA_051903665.1|CM122891.1|L2,5497267,5524862,27596,11,11,3347,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_051903665.1,Fusarium graminearum,Not reported ,TRI,CM122893.1,GCA_051903665.1|CM122893.1|L1,4316313,4333461,17149,3,3,12290,"TRI21,TRI20,TRI17"
GCA_052857265.1,Fusarium equiseti,Not reported ,TRI,JAOANM010000002.1,GCA_052857265.1|JAOANM010000002.1|L1,467973,476350,8378,2,2,4597,"TRI22,TRI101"
GCA_052857265.1,Fusarium equiseti,Not reported ,TRI,JAOANM010000002.1,GCA_052857265.1|JAOANM010000002.1|L2,1672703,1673879,1177,1,1,0,TRI5
GCA_052857265.1,Fusarium equiseti,Not reported ,TRI,JAOANM010000017.1,GCA_052857265.1|JAOANM010000017.1|L1,469098,469894,797,1,1,0,TRI21
GCA_054553065.1,Fusarium cerealis,NIV,TRI,CM137277.1,GCA_054553065.1|CM137277.1|L1,11550678,11552431,1754,1,1,0,TRI1
GCA_054553065.1,Fusarium cerealis,NIV,TRI,CM137278.1,GCA_054553065.1|CM137278.1|L1,3516325,3543776,27452,11,11,3346,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8"
GCA_054553065.1,Fusarium cerealis,NIV,TRI,CM137278.1,GCA_054553065.1|CM137278.1|L2,4308764,4317345,8582,3,3,1549,"TRI101,TRI201,TRI22"
GCA_054553065.1,Fusarium cerealis,NIV,TRI,CM137279.1,GCA_054553065.1|CM137279.1|L1,1799561,1816833,17273,3,3,12416,"TRI21,TRI20,TRI17"
GCA_900007375.1,Fusarium venenatum,NP,TRI ,LN649229.1,GCA_900007375.1|LN649229.1|L1,235907,237351,1445,1,1,0,TRI16
GCA_900007375.1,Fusarium venenatum,NP,TRI ,LN649230.1,GCA_900007375.1|LN649230.1|L1,4813654,4822069,8416,3,3,1517,"TRI22,TRI201,TRI101"
GCA_900007375.1,Fusarium venenatum,NP,TRI ,LN649230.1,GCA_900007375.1|LN649230.1|L2,5604849,5631982,27134,12,12,2846,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14"
GCA_900007375.1,Fusarium venenatum,NP,TRI ,LN649231.1,GCA_900007375.1|LN649231.1|L1,3859718,3876191,16474,3,3,11649,"TRI17,TRI20,TRI21"
GCA_900044135.1,Fusarium graminearum,15-ADON,TRI,HG970332.2,GCA_900044135.1|HG970332.2|L1,291505,293259,1755,1,1,0,TRI1
GCA_900044135.1,Fusarium graminearum,15-ADON,TRI,HG970333.1,GCA_900044135.1|HG970333.1|L1,4624670,4633278,8609,3,3,1547,"TRI22,TRI201,TRI101"
GCA_900044135.1,Fusarium graminearum,15-ADON,TRI,HG970333.1,GCA_900044135.1|HG970333.1|L2,5392461,5419477,27017,10,10,3080,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_900044135.1,Fusarium graminearum,15-ADON,TRI,HG970334.1,GCA_900044135.1|HG970334.1|L1,3547255,3564435,17181,3,3,12318,"TRI17,TRI20,TRI21"
GCA_900074845.1,Fusarium culmorum,3-ADON,TRI,LT598659.1,GCA_900074845.1|LT598659.1|L1,347485,349238,1754,1,1,0,TRI1
GCA_900074845.1,Fusarium culmorum,3-ADON,TRI,LT598660.1,GCA_900074845.1|LT598660.1|L1,4804145,4805501,1357,1,1,0,TRI201
GCA_900074845.1,Fusarium culmorum,3-ADON,TRI,LT598660.1,GCA_900074845.1|LT598660.1|L2,5588614,5614290,25677,10,10,3640,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_900074845.1,Fusarium culmorum,3-ADON,TRI,LT598661.1,GCA_900074845.1|LT598661.1|L1,3557186,3574555,17370,3,3,12514,"TRI17,TRI20,TRI21"
GCF_000240135.3,Fusarium graminearum,15-ADON,TRI,NC_026474.1,GCF_000240135.3|NC_026474.1|L1,282627,284381,1755,1,1,0,TRI1
GCF_000240135.3,Fusarium graminearum,15-ADON,TRI,NC_026475.1,GCF_000240135.3|NC_026475.1|L1,6635631,6662647,27017,10,10,3080,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8"
GCF_000240135.3,Fusarium graminearum,15-ADON,TRI,NC_026475.1,GCF_000240135.3|NC_026475.1|L2,7421768,7430376,8609,3,3,1547,"TRI101,TRI201,TRI22"
GCF_000240135.3,Fusarium graminearum,15-ADON,TRI,NC_026476.1,GCF_000240135.3|NC_026476.1|L1,3546409,3563589,17181,3,3,12318,"TRI17,TRI20,TRI21"
GCF_000303195.2,Fusarium pseudograminearum,3-ADON,TRI,NC_031951.1,GCF_000303195.2|NC_031951.1|L1,249932,251686,1755,1,1,0,TRI1
GCF_000303195.2,Fusarium pseudograminearum,3-ADON,TRI,NC_031952.1,GCF_000303195.2|NC_031952.1|L1,4620172,4628764,8593,3,3,1530,"TRI22,TRI201,TRI101"
GCF_000303195.2,Fusarium pseudograminearum,3-ADON,TRI,NC_031952.1,GCF_000303195.2|NC_031952.1|L2,5414651,5439867,25217,10,10,3210,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCF_000303195.2,Fusarium pseudograminearum,3-ADON,TRI,NC_031953.1,GCF_000303195.2|NC_031953.1|L1,3565188,3580781,15594,3,3,10740,"TRI17,TRI20,TRI21"
GCF_019609905.1,Fusarium poae,NIV,TRI,NC_058399.1,GCF_019609905.1|NC_058399.1|L1,48396,50157,1762,1,1,0,TRI1
GCF_019609905.1,Fusarium poae,NIV,TRI,NC_058400.1,GCF_019609905.1|NC_058400.1|L1,5062118,5070577,8460,2,2,4249,"TRI22,TRI101"
GCF_019609905.1,Fusarium poae,NIV,TRI,NC_058400.1,GCF_019609905.1|NC_058400.1|L2,5863037,5893215,30179,12,12,5060,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14"
GCF_019609905.1,Fusarium poae,NIV,TRI,NC_058401.1,GCF_019609905.1|NC_058401.1|L1,4216394,4231788,15395,3,3,10572,"TRI17,TRI20,TRI21"
GCF_020744385.1,Fusarium flagelliforme,Not reported ,TRI,NW_025763509.1,GCF_020744385.1|NW_025763509.1|L1,614894,623242,8349,2,2,4566,"TRI22,TRI101"
GCF_020744385.1,Fusarium flagelliforme,Not reported ,TRI,NW_025763509.1,GCF_020744385.1|NW_025763509.1|L2,2071527,2079308,7782,2,2,5496,"TRI5,TRI4"
GCF_050947815.1,Fusarium sambucinum,T-2/HT-2 *,TRI,NC_139292.1,GCF_050947815.1|NC_139292.1|L1,3947996,3963735,15740,3,3,10946,"TRI17,TRI20,TRI21"
GCF_050947815.1,Fusarium sambucinum,T-2/HT-2 *,TRI,NC_139293.1,GCF_050947815.1|NC_139293.1|L1,3756792,3783918,27127,12,12,2869,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8"
GCF_050947815.1,Fusarium sambucinum,T-2/HT-2 *,TRI,NC_139293.1,GCF_050947815.1|NC_139293.1|L2,4541598,4550114,8517,3,3,1513,"TRI101,TRI201,TRI22"
GCF_050947815.1,Fusarium sambucinum,T-2/HT-2 *,TRI,NC_139294.1,GCF_050947815.1|NC_139294.1|L1,58508,59554,1047,1,1,0,TRI16
