Genome_ID,Species,Chemotype,Toxin_System,Strain,Chromosome_or_Contig,Locus_ID,Locus_class,Genes,Locus_start,Locus_end,Locus_length_bp,Extract_start,Extract_end,Extract_length_bp,Flank_bp,Genome_fasta,Output_fasta,Separation_group,Evidence_status,FASTA_header
GCA_037074405.1,Fusarium graminearum,15-ADON,TRI,,CM073625.1,GCA_037074405.1|CM073625.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5459538,5486586,27049,5454538,5491586,37049,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_037074405.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_037074405.1_CM073625.1_core_TRI_cluster_5454538_5491586.fna,15-ADON,confirmed,"GCA_037074405.1|CM073625.1|core_TRI_cluster|5454538-5491586|locus=5459538-5486586|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37049_to_2)"
GCA_037213105.1,Fusarium graminearum,3-ADON,TRI,,CP147678.1,GCA_037213105.1|CP147678.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5385139,5409873,24735,5380139,5414873,34735,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_037213105.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_037213105.1_CP147678.1_core_TRI_cluster_5380139_5414873.fna,3-ADON,confirmed,"GCA_037213105.1|CP147678.1|core_TRI_cluster|5380139-5414873|locus=5385139-5409873|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_34735_to_60)"
GCA_037255895.1,Fusarium graminearum,15-ADON,TRI,,CP147673.1,GCA_037255895.1|CP147673.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5439173,5466144,26972,5434173,5471144,36972,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_037255895.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_037255895.1_CP147673.1_core_TRI_cluster_5434173_5471144.fna,15-ADON,confirmed,"GCA_037255895.1|CP147673.1|core_TRI_cluster|5434173-5471144|locus=5439173-5466144|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_36972_to_1)"
GCA_041870755.1,Fusarium sambucinum,T-2/HT-2 *,TRI,,CP167250.1,GCA_041870755.1|CP167250.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3731431,3758527,27097,3726431,3763527,37097,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_041870755.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_041870755.1_CP167250.1_core_TRI_cluster_3726431_3763527.fna,T-2/HT-2,inferred,"GCA_041870755.1|CP167250.1|core_TRI_cluster|3726431-3763527|locus=3731431-3758527|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8_(bases_1_to_37097)"
GCA_046056315.1,Fusarium poae,NIV,TRI,,CM100255.1,GCA_046056315.1|CM100255.1|L2,core_TRI_cluster,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5851507,5881662,30156,5846507,5886662,40156,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_046056315.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_046056315.1_CM100255.1_core_TRI_cluster_5846507_5886662.fna,NIV,confirmed,"GCA_046056315.1|CM100255.1|core_TRI_cluster|5846507-5886662|locus=5851507-5881662|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14_(bases_40156_to_1)"
GCA_050916195.1,Fusarium asiaticum,3-ADON,TRI,,CP099493.1,GCA_050916195.1|CP099493.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5454195,5479208,25014,5449195,5484208,35014,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_050916195.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_050916195.1_CP099493.1_core_TRI_cluster_5449195_5484208.fna,3-ADON,confirmed,"GCA_050916195.1|CP099493.1|core_TRI_cluster|5449195-5484208|locus=5454195-5479208|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_35012_to_3)"
GCA_054553065.1,Fusarium cerealis,NIV,TRI,,CM137278.1,GCA_054553065.1|CM137278.1|L1,core_TRI_cluster,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3516325,3543776,27452,3511325,3548776,37452,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_054553065.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_054553065.1_CM137278.1_core_TRI_cluster_3511325_3548776.fna,NIV,confirmed,"GCA_054553065.1|CM137278.1|core_TRI_cluster|3511325-3548776|locus=3516325-3543776|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8_(bases_3_to_37450)"
GCA_900044135.1,Fusarium graminearum,15-ADON,TRI,,HG970333.1,GCA_900044135.1|HG970333.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5392461,5419477,27017,5387461,5424477,37017,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_900044135.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_900044135.1_HG970333.1_core_TRI_cluster_5387461_5424477.fna,15-ADON,confirmed,"GCA_900044135.1|HG970333.1|core_TRI_cluster|5387461-5424477|locus=5392461-5419477|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37017_to_1)"
GCA_900074845.1,Fusarium culmorum,3-ADON,TRI,,LT598660.1,GCA_900074845.1|LT598660.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5588614,5614290,25677,5583614,5619290,35677,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_900074845.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_900074845.1_LT598660.1_core_TRI_cluster_5583614_5619290.fna,3-ADON,confirmed,"GCA_900074845.1|LT598660.1|core_TRI_cluster|5583614-5619290|locus=5588614-5614290|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_35675_to_3)"
GCF_000240135.3,Fusarium graminearum,15-ADON,TRI,,NC_026475.1,GCF_000240135.3|NC_026475.1|L1,core_TRI_cluster,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",6635631,6662647,27017,6630631,6667647,37017,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCF_000240135.3_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCF_000240135.3_NC_026475.1_core_TRI_cluster_6630631_6667647.fna,15-ADON,confirmed,"GCF_000240135.3|NC_026475.1|core_TRI_cluster|6630631-6667647|locus=6635631-6662647|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_1_to_37017)"
GCF_000303195.2,Fusarium pseudograminearum,3-ADON,TRI,,NC_031952.1,GCF_000303195.2|NC_031952.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5414651,5439867,25217,5409651,5444867,35217,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCF_000303195.2_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCF_000303195.2_NC_031952.1_core_TRI_cluster_5409651_5444867.fna,3-ADON,confirmed,"GCF_000303195.2|NC_031952.1|core_TRI_cluster|5409651-5444867|locus=5414651-5439867|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_35215_to_3)"
GCF_019609905.1,Fusarium poae,NIV,TRI,,NC_058400.1,GCF_019609905.1|NC_058400.1|L2,core_TRI_cluster,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5863037,5893215,30179,5858037,5898215,40179,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCF_019609905.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCF_019609905.1_NC_058400.1_core_TRI_cluster_5858037_5898215.fna,NIV,confirmed,"GCF_019609905.1|NC_058400.1|core_TRI_cluster|5858037-5898215|locus=5863037-5893215|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14_(bases_40179_to_1)"
GCF_050947815.1,Fusarium sambucinum,T-2/HT-2 *,TRI,,NC_139293.1,GCF_050947815.1|NC_139293.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3756792,3783918,27127,3751792,3788918,37127,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCF_050947815.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCF_050947815.1_NC_139293.1_core_TRI_cluster_3751792_3788918.fna,T-2/HT-2,inferred,"GCF_050947815.1|NC_139293.1|core_TRI_cluster|3751792-3788918|locus=3756792-3783918|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8_(bases_1_to_37126)"
