Species,Genome_ID,Chemotype,Toxin_System,Strain/Isolate,Assembly_level,Number of contigs,Contig_N50_Mb,Reported isolate/Genome assembly reference,DOI /link
Fusarium tricinctum,GCA_050859235.1,NP,TRI ,MsR-QD66,Complete genome,10,5.1 Mb,,
Fusarium verticilloides,GCA_031360185.1,NP,TRI ,ITEM 10027,Complete genome,13,"	4.4 Mb",,
Fusarium verticilloides,GCA_053843395.1,NP,TRI ,FvLNF15-11,Complete genome,12,4.3 Mb,,
Fusarium verticilloides,GCA_058139895.1,NP,TRI ,CMGF-RB13,Complete genome,12,4.3 Mb,,
Fusarium venenatum,GCA_900007375.1,NP,TRI ,A3/5,Chromosome,16,6.1 Mb,"Lee et al.,2024",https://doi.org/10.1038/s42003-024-05791-9
Fusarium sibiricum,GCA_014898995.1,T-2/HT-2 *,TRI ,NRRL 53430,Scaffold,3100,48.1 kb,"Yli-Mattila et al., 2011, no evidence for this specific strain ",https://doi.org/10.1016/j.ijfoodmicro.2011.03.007
Fusarium chlamydosporum,GCA_047716405.1,Not reported ,TRI,IraGTOF6,Contig,23,3.3 Mb,"Pashkov et al.,2025",https://doi.org/10.1016/j.dib.2025.111854
Fusarium flagelliforme,GCF_020744385.1,Not reported ,TRI,FIESC 12 MPI-CAGE-AA-0113,Contig,15,5.4 Mb,There is no paper stating that this produces any mycotoxin ,
Fusarium boothii,GCA_017656985.1,15-ADON,TRI,CBS 316.73,Scaffold,58,1.3 Mb,"Zhang et al., 2016",https://doi.org/10.3920/WMJ2015.2004
Fusarium sambucinum,GCF_050947815.1,T-2/HT-2 *,TRI,potato_lamoka,Complete genome,4,9.7 Mb,"Recognized Type A trichothecene-producing species, however isolate-specific toxin production not reported.",https://doi.org/10.1094/PHYTOFR-05-25-0052-A
Fusarium sambucinum,GCA_041870755.1,T-2/HT-2 *,TRI,hop_citra,Complete genome,4,9.5 Mb,"Recognized Type A trichothecene-producing species, however isolate-specific toxin production not reported.",https://doi.org/10.1094/PHYTOFR-05-25-0052-A
Fusarium meridionale,GCA_032355295.1,NIV,TRI,JX18-4,Complete genome,4,"	9.2 Mb","Du et al.,2024",https://doi.org/10.2323/jgam.2024.05.003
